type,name,category,city,capacity,price_range,rating,contact_email,price
Vendor,Lumen 373,Conference Center,Los Angeles,71,$$$$,3.5,vendor373@example.com,500
Vendor,Vega 33,Hotel,Chicago,37,$$$,3.6,vendor33@example.com,300
Venue,Solstice 478,Decoration,Los Angeles,441,$$$$,3.1,venue478@example.com,500
Venue,Harbor 405,Conference Center,Chicago,1739,$$,3.6,venue405@example.com,150
Venue,Eclipse 173,Decoration,Toronto,868,$,4.3,venue173@example.com,50
Venue,Eclipse 126,Security,Boston,1331,$,4.6,venue126@example.com,50
Venue,Oasis 395,Theater,New York,223,$$$,4.4,venue395@example.com,300
Venue,Galaxy 421,Theater,Chicago,756,$$$$,3.1,venue421@example.com,500
Vendor,Orion 53,Hotel,Chicago,98,$$$,4.2,vendor53@example.com,300
Vendor,Lynx 404,Outdoor,Seattle,47,$$$$,4.6,vendor404@example.com,500
Venue,Oasis 91,Decoration,Chicago,1989,$$,4.4,venue91@example.com,150
Vendor,Nimbus 440,Hotel,Los Angeles,71,$$$,4.0,vendor440@example.com,300
Venue,Harbor 182,AV,Los Angeles,710,$,3.8,venue182@example.com,50
Venue,Aurora 275,Photography,Toronto,1406,$$$$,3.2,venue275@example.com,500
Vendor,Astra 396,Decoration,Los Angeles,59,$$$,3.5,vendor396@example.com,300
Venue,Mirage 70,Security,Seattle,637,$$$$,4.6,venue70@example.com,500
Venue,Mirage 292,Catering,Toronto,1998,$$$$,3.4,venue292@example.com,500
Venue,Eclipse 132,AV,Toronto,660,$$,4.9,venue132@example.com,150
Venue,Nebula 301,Decoration,Chicago,1100,$$$$,3.6,venue301@example.com,500
Venue,Galaxy 425,Decoration,Seattle,118,$$$$,3.8,venue425@example.com,500
Venue,Odyssey 327,Theater,Chicago,109,$$,4.2,venue327@example.com,150
Venue,Solstice 145,Conference Center,Los Angeles,899,$,4.0,venue145@example.com,50
Venue,Cascade 424,Security,Seattle,1376,$,4.5,venue424@example.com,50
Vendor,Helix 81,Decoration,New York,97,$,4.0,vendor81@example.com,50
Venue,Oasis 136,Outdoor,Seattle,1562,$$$$,4.5,venue136@example.com,500
Venue,Summit 451,Outdoor,Toronto,187,$$,4.5,venue451@example.com,150
Venue,Cascade 165,Hotel,Chicago,382,$$,3.3,venue165@example.com,150
Venue,Harbor 29,AV,Boston,1633,$$,4.8,venue29@example.com,150
Vendor,Echo 274,Catering,Vancouver,22,$,5.0,vendor274@example.com,50
Venue,Echo 194,Decoration,Chicago,1702,$,4.0,venue194@example.com,50
Venue,Eclipse 389,Catering,Toronto,299,$$$$,3.6,venue389@example.com,500
Vendor,Atlas 353,Security,New York,62,$,4.0,vendor353@example.com,50
Venue,Vista 170,Decoration,New York,595,$$,5.0,venue170@example.com,150
Vendor,Atlas 206,AV,Los Angeles,83,$,3.4,vendor206@example.com,50
Venue,Odyssey 141,Decoration,Boston,769,$$$$,3.2,venue141@example.com,500
Venue,Mirage 174,AV,Los Angeles,954,$,3.0,venue174@example.com,50
Venue,Momentum 7,Conference Center,Los Angeles,1622,$$,4.6,venue7@example.com,150
Vendor,Comet 246,Decoration,Chicago,55,$$,3.6,vendor246@example.com,150
Venue,Summit 479,Community Hall,Los Angeles,305,$$$,4.2,venue479@example.com,300
Venue,Horizon 74,Catering,Los Angeles,1063,$$$,3.0,venue74@example.com,300
Vendor,Cosmos 411,Conference Center,Seattle,37,$$$$,4.3,vendor411@example.com,500
Vendor,Echo 314,Community Hall,Los Angeles,94,$$$$,4.5,vendor314@example.com,500
Venue,Momentum 239,Outdoor,Boston,1717,$,3.5,venue239@example.com,50
Venue,Summit 146,Decoration,Vancouver,155,$$,4.2,venue146@example.com,150
Vendor,Phoenix 293,Hotel,Toronto,50,$,4.8,vendor293@example.com,50
Venue,Echo 235,Hotel,Los Angeles,1726,$$,4.8,venue235@example.com,150
Venue,Aurora 221,Catering,Los Angeles,1853,$$,3.1,venue221@example.com,150
Vendor,Quantum 424,Decoration,Seattle,72,$$$$,4.2,vendor424@example.com,500
Vendor,Echo 1,Decoration,Boston,83,$,4.3,vendor1@example.com,50
Venue,Zenith 133,Theater,Vancouver,489,$$,4.0,venue133@example.com,150
Vendor,Spectrum 491,Decoration,Seattle,73,$$,3.6,vendor491@example.com,150
Vendor,Orion 275,AV,Los Angeles,76,$$,3.3,vendor275@example.com,150
Venue,Eclipse 186,Decoration,Toronto,631,$$,3.7,venue186@example.com,150
Venue,Eclipse 42,Conference Center,Seattle,1412,$$$$,4.5,venue42@example.com,500
Vendor,Nova 197,AV,Toronto,11,$$,3.4,vendor197@example.com,150
Venue,Crown 109,Security,Los Angeles,1878,$$,4.9,venue109@example.com,150
Vendor,Orion 89,AV,Vancouver,12,$$,3.9,vendor89@example.com,150
Venue,Harbor 57,Conference Center,Chicago,805,$$$,3.8,venue57@example.com,300
Venue,Cascade 406,Decoration,Seattle,1813,$$$$,4.1,venue406@example.com,500
Venue,Momentum 443,AV,Boston,1754,$$,3.8,venue443@example.com,150
Vendor,Phoenix 258,Outdoor,Seattle,83,$,4.2,vendor258@example.com,50
Vendor,Atlas 498,Photography,Boston,60,$,3.1,vendor498@example.com,50
Venue,Crown 25,Outdoor,Toronto,943,$$$$,5.0,venue25@example.com,500
Venue,Horizon 468,Outdoor,New York,1208,$$,3.6,venue468@example.com,150
Vendor,Echo 40,Outdoor,Vancouver,93,$$,4.6,vendor40@example.com,150
Vendor,Atlas 32,Hotel,New York,91,$$$$,4.1,vendor32@example.com,500
Vendor,Lumen 119,Catering,Vancouver,77,$$,3.9,vendor119@example.com,150
Vendor,Helix 195,Photography,Toronto,78,$$$,3.9,vendor195@example.com,300
Vendor,Spectrum 427,Conference Center,Toronto,75,$,4.3,vendor427@example.com,50
Venue,Cascade 339,Outdoor,New York,1708,$$$,4.3,venue339@example.com,300
Venue,Echo 52,Theater,Los Angeles,1851,$$$$,4.9,venue52@example.com,500
Vendor,Cosmos 8,Photography,Toronto,42,$$$,3.1,vendor8@example.com,300
Vendor,Orion 17,Theater,Seattle,56,$$$$,3.6,vendor17@example.com,500
Vendor,Vega 421,Security,New York,97,$,3.7,vendor421@example.com,50
Vendor,Helix 282,Conference Center,Los Angeles,22,$,3.4,vendor282@example.com,50
Venue,Echo 265,Photography,Seattle,751,$$$$,3.9,venue265@example.com,500
Vendor,Vertex 318,Outdoor,New York,58,$$$$,3.7,vendor318@example.com,500
Vendor,Vertex 211,Community Hall,Seattle,50,$$$,3.8,vendor211@example.com,300
Vendor,Astra 183,Outdoor,Los Angeles,66,$$$,3.6,vendor183@example.com,300
Vendor,Lyra 333,Decoration,New York,10,$$$$,4.4,vendor333@example.com,500
Vendor,Stratus 19,Catering,Los Angeles,32,$,4.3,vendor19@example.com,50
Venue,Odyssey 448,Photography,Chicago,843,$$,3.1,venue448@example.com,150
Venue,Nebula 19,Security,Seattle,699,$$$$,3.2,venue19@example.com,500
Vendor,Radiant 216,Community Hall,Vancouver,69,$$$,3.3,vendor216@example.com,300
Venue,Mirage 484,Theater,Seattle,1461,$$$$,4.3,venue484@example.com,500
Vendor,Atlas 69,Conference Center,Seattle,13,$$$$,3.1,vendor69@example.com,500
Venue,Horizon 434,Hotel,Seattle,1910,$$,3.4,venue434@example.com,150
Venue,Serenity 368,Photography,Boston,1272,$$,4.7,venue368@example.com,150
Venue,Galaxy 84,Photography,Toronto,1758,$$$,3.9,venue84@example.com,300
Venue,Vertex 62,Outdoor,Seattle,535,$$$$,4.7,venue62@example.com,500
Vendor,Echo 139,Conference Center,New York,19,$$,3.6,vendor139@example.com,150
Venue,Vista 273,Conference Center,Boston,384,$$$$,4.0,venue273@example.com,500
Venue,Aurora 286,Hotel,Boston,1384,$,4.5,venue286@example.com,50
Venue,Momentum 361,Decoration,Boston,1545,$,4.3,venue361@example.com,50
Venue,Echo 355,Community Hall,Chicago,260,$$$$,3.3,venue355@example.com,500
Venue,Galaxy 457,Decoration,Toronto,414,$,3.5,venue457@example.com,50
Venue,Summit 279,Hotel,Boston,1257,$$,3.4,venue279@example.com,150
Venue,Horizon 13,Catering,Los Angeles,1924,$$,4.2,venue13@example.com,150
Venue,Aurora 183,Community Hall,New York,285,$$$,3.9,venue183@example.com,300
Venue,Oasis 369,AV,Vancouver,318,$,3.1,venue369@example.com,50
Vendor,Orion 382,Decoration,Los Angeles,93,$$$$,3.5,vendor382@example.com,500
Vendor,Vega 116,Hotel,Seattle,37,$,4.0,vendor116@example.com,50
Venue,Echo 224,Photography,Boston,1565,$,3.4,venue224@example.com,50
Vendor,Vertex 73,Hotel,Toronto,54,$$$,4.3,vendor73@example.com,300
Vendor,Cosmos 471,AV,Vancouver,54,$$,3.1,vendor471@example.com,150
Vendor,Nova 154,Conference Center,Boston,60,$,3.6,vendor154@example.com,50
Vendor,Spectrum 46,Decoration,Los Angeles,76,$$$$,3.1,vendor46@example.com,500
Vendor,Nimbus 83,Catering,Toronto,71,$,4.2,vendor83@example.com,50
Vendor,Vertex 134,Outdoor,Vancouver,95,$$,4.6,vendor134@example.com,150
Venue,Echo 177,Security,Seattle,1282,$$,4.7,venue177@example.com,150
Vendor,Nova 166,Decoration,New York,30,$$,4.7,vendor166@example.com,150
Vendor,Spectrum 174,AV,Boston,93,$$,3.1,vendor174@example.com,150
Vendor,Vertex 86,Theater,Boston,75,$$$$,3.3,vendor86@example.com,500
Vendor,Radiant 374,Conference Center,New York,80,$$$$,3.2,vendor374@example.com,500
Venue,Aurora 394,Photography,Seattle,1433,$$$,3.2,venue394@example.com,300
Venue,Zenith 164,Theater,Los Angeles,960,$$$$,4.2,venue164@example.com,500
Venue,Mirage 249,Photography,Toronto,528,$$$,4.3,venue249@example.com,300
Vendor,Phoenix 135,Conference Center,Los Angeles,40,$$,4.3,vendor135@example.com,150
Vendor,Comet 386,Hotel,Los Angeles,46,$,3.2,vendor386@example.com,50
Vendor,Lyra 170,Hotel,Vancouver,50,$,4.3,vendor170@example.com,50
Venue,Cascade 376,Hotel,Seattle,1256,$$$,4.2,venue376@example.com,300
Venue,Summit 413,Theater,New York,408,$$$,3.3,venue413@example.com,300
Venue,Cascade 75,Outdoor,New York,1961,$$$,4.6,venue75@example.com,300
Venue,Eclipse 114,Catering,Boston,833,$$$$,4.6,venue114@example.com,500
Vendor,Comet 99,Hotel,Seattle,86,$$,3.4,vendor99@example.com,150
Vendor,Radiant 462,Conference Center,New York,24,$$,3.4,vendor462@example.com,150
Venue,Horizon 391,Decoration,Los Angeles,998,$$$,5.0,venue391@example.com,300
Venue,Vertex 105,Conference Center,Boston,1570,$$$$,3.6,venue105@example.com,500
Venue,Vertex 115,Decoration,Boston,1722,$,3.0,venue115@example.com,50
Venue,Momentum 418,Community Hall,Vancouver,1521,$$,4.4,venue418@example.com,150
Vendor,Atlas 26,Security,Seattle,23,$$$,3.7,vendor26@example.com,300
Venue,Harbor 458,Conference Center,Vancouver,453,$$,4.4,venue458@example.com,150
Venue,Vertex 410,Photography,Los Angeles,1960,$$$,3.2,venue410@example.com,300
Venue,Harbor 93,Photography,Chicago,371,$$,4.0,venue93@example.com,150
Vendor,Quantum 431,Community Hall,Los Angeles,69,$,4.3,vendor431@example.com,50
Venue,Nebula 90,Security,Seattle,540,$,3.5,venue90@example.com,50
Venue,Momentum 337,Outdoor,Toronto,440,$,3.0,venue337@example.com,50
Vendor,Helix 489,Photography,Seattle,17,$,3.8,vendor489@example.com,50
Vendor,Lynx 422,Outdoor,New York,32,$$$,3.9,vendor422@example.com,300
Vendor,Cosmos 434,Community Hall,Seattle,38,$$,4.3,vendor434@example.com,150
Vendor,Spectrum 106,Catering,Los Angeles,13,$$,4.6,vendor106@example.com,150
Vendor,Orion 94,Community Hall,Seattle,40,$$$$,4.8,vendor94@example.com,500
Vendor,Comet 112,Outdoor,Vancouver,87,$,3.3,vendor112@example.com,50
Venue,Galaxy 95,Decoration,Chicago,610,$,3.8,venue95@example.com,50
Venue,Momentum 12,Outdoor,Chicago,333,$$$$,3.6,venue12@example.com,500
Venue,Vertex 397,Community Hall,Boston,1324,$$,4.2,venue397@example.com,150
Vendor,Vega 34,AV,New York,71,$,4.1,vendor34@example.com,50
Venue,Vertex 44,Outdoor,Vancouver,590,$$$,4.1,venue44@example.com,300
Venue,Serenity 43,Photography,Chicago,350,$$$,3.3,venue43@example.com,300
Venue,Serenity 330,Outdoor,Chicago,1014,$$$,3.6,venue330@example.com,300
Venue,Serenity 168,Outdoor,Vancouver,1390,$,4.4,venue168@example.com,50
Venue,Odyssey 498,Conference Center,New York,325,$$$,3.6,venue498@example.com,300
Vendor,Astra 377,Decoration,Toronto,95,$,3.1,vendor377@example.com,50
Vendor,Helix 98,Conference Center,Los Angeles,57,$$$,4.6,vendor98@example.com,300
Vendor,Helix 257,Security,Vancouver,76,$,3.5,vendor257@example.com,50
Venue,Cascade 101,Conference Center,Vancouver,1285,$,4.5,venue101@example.com,50
Venue,Cascade 427,Theater,New York,1177,$,4.8,venue427@example.com,50
Venue,Galaxy 179,Community Hall,Chicago,1107,$$,4.7,venue179@example.com,150
Venue,Echo 445,Hotel,Boston,1761,$$$$,3.8,venue445@example.com,500
Venue,Horizon 417,Theater,Vancouver,1019,$$,4.1,venue417@example.com,150
Vendor,Nova 371,AV,Toronto,18,$$$,3.4,vendor371@example.com,300
Vendor,Astra 383,Community Hall,Chicago,18,$$$$,4.5,vendor383@example.com,500
Vendor,Pulse 181,Security,Toronto,76,$$,3.8,vendor181@example.com,150
Venue,Odyssey 178,Conference Center,Vancouver,399,$$$$,3.9,venue178@example.com,500
Venue,Solstice 396,Decoration,Chicago,412,$$$,3.9,venue396@example.com,300
Vendor,Pulse 412,Outdoor,Vancouver,96,$$$$,4.4,vendor412@example.com,500
Vendor,Lyra 294,Conference Center,New York,89,$$$$,4.9,vendor294@example.com,500
Vendor,Astra 461,Theater,Toronto,84,$$$$,3.7,vendor461@example.com,500
Vendor,Orion 185,Photography,Chicago,77,$$$$,4.1,vendor185@example.com,500
Venue,Nebula 384,Outdoor,Chicago,840,$$$$,4.3,venue384@example.com,500
Vendor,Vertex 457,Hotel,Seattle,52,$$,3.2,vendor457@example.com,150
Vendor,Comet 252,Outdoor,Seattle,85,$$$,3.2,vendor252@example.com,300
Venue,Summit 258,Community Hall,Chicago,800,$$$,4.9,venue258@example.com,300
Vendor,Helix 39,Hotel,Boston,35,$$$$,3.3,vendor39@example.com,500
Venue,Eclipse 336,Decoration,Toronto,1431,$$,3.2,venue336@example.com,150
Venue,Eclipse 16,Community Hall,Los Angeles,1947,$$,4.4,venue16@example.com,150
Venue,Momentum 325,Community Hall,Chicago,646,$$$$,4.6,venue325@example.com,500
Vendor,Astra 259,Decoration,Chicago,15,$$,3.9,vendor259@example.com,150
Venue,Odyssey 223,Theater,Toronto,1427,$,3.2,venue223@example.com,50
Venue,Horizon 180,Conference Center,Chicago,156,$$$,3.4,venue180@example.com,300
Vendor,Lumen 484,Hotel,Seattle,88,$,4.2,vendor484@example.com,50
Venue,Zenith 23,AV,Toronto,970,$$$,3.7,venue23@example.com,300
Venue,Harbor 357,Theater,Chicago,1513,$$,3.1,venue357@example.com,150
Vendor,Vega 167,Community Hall,Los Angeles,24,$$,3.7,vendor167@example.com,150
Vendor,Stratus 362,AV,Toronto,60,$,3.1,vendor362@example.com,50
Venue,Aurora 341,Community Hall,Toronto,466,$$$$,4.9,venue341@example.com,500
Venue,Momentum 432,Outdoor,New York,1107,$$,4.0,venue432@example.com,150
Vendor,Nimbus 52,Photography,Vancouver,68,$,4.1,vendor52@example.com,50
Vendor,Vega 334,Catering,New York,80,$$$,4.6,vendor334@example.com,300
Venue,Oasis 204,Hotel,Seattle,876,$$,3.6,venue204@example.com,150
Vendor,Vertex 131,Conference Center,Chicago,92,$$$$,3.5,vendor131@example.com,500
Venue,Solstice 94,Outdoor,Chicago,263,$,3.2,venue94@example.com,50
Vendor,Lumen 59,Community Hall,Vancouver,46,$$,4.3,vendor59@example.com,150
Venue,Nebula 69,Community Hall,Chicago,1804,$$,3.4,venue69@example.com,150
Vendor,Lyra 123,Community Hall,New York,76,$,4.9,vendor123@example.com,50
Venue,Eclipse 285,Outdoor,Boston,1022,$$$$,5.0,venue285@example.com,500
Vendor,Nova 345,Photography,New York,80,$,3.3,vendor345@example.com,50
Venue,Horizon 435,AV,Vancouver,1035,$,3.5,venue435@example.com,50
Venue,Eclipse 154,Conference Center,Boston,1425,$$$$,4.7,venue154@example.com,500
Venue,Galaxy 76,Community Hall,Los Angeles,245,$$$$,3.4,venue76@example.com,500
Vendor,Quantum 231,Hotel,New York,99,$$,3.7,vendor231@example.com,150
Venue,Summit 447,Theater,Los Angeles,550,$$$,4.4,venue447@example.com,300
Venue,Horizon 189,Community Hall,Toronto,1169,$,3.5,venue189@example.com,50
Venue,Vertex 272,AV,Toronto,1520,$,4.2,venue272@example.com,50
Venue,Galaxy 237,Catering,New York,586,$$,4.3,venue237@example.com,150
Venue,Zenith 488,Security,Chicago,404,$$$,4.1,venue488@example.com,300
Venue,Harbor 118,Community Hall,Vancouver,1158,$,3.6,venue118@example.com,50
Vendor,Spectrum 444,Catering,Boston,83,$,3.4,vendor444@example.com,50
Vendor,Nova 13,Decoration,Chicago,81,$$,4.4,vendor13@example.com,150
Vendor,Pulse 326,Conference Center,Chicago,46,$,3.7,vendor326@example.com,50
Vendor,Nova 92,Conference Center,Seattle,12,$$$$,3.2,vendor92@example.com,500
Venue,Solstice 127,Hotel,Chicago,164,$$,3.9,venue127@example.com,150
Venue,Aurora 117,AV,Toronto,228,$$$$,4.4,venue117@example.com,500
Venue,Crown 474,Outdoor,Toronto,1100,$$,4.6,venue474@example.com,150
Vendor,Orion 194,Security,Chicago,63,$,3.5,vendor194@example.com,50
Venue,Oasis 58,Conference Center,Seattle,1404,$$,3.9,venue58@example.com,150
Vendor,Quantum 364,Conference Center,Seattle,100,$$$$,3.8,vendor364@example.com,500
Vendor,Pulse 413,Theater,Vancouver,75,$$$$,3.2,vendor413@example.com,500
Venue,Vertex 370,Decoration,Toronto,1292,$$$,4.9,venue370@example.com,300
Venue,Aurora 269,Outdoor,Boston,404,$,4.3,venue269@example.com,50
Venue,Horizon 47,Outdoor,New York,1997,$$$,4.8,venue47@example.com,300
Venue,Zenith 350,AV,New York,1781,$$$,4.1,venue350@example.com,300
Venue,Zenith 196,Security,New York,388,$$$$,4.0,venue196@example.com,500
Vendor,Radiant 500,Decoration,Boston,55,$$$,4.3,vendor500@example.com,300
Vendor,Nimbus 335,Hotel,Seattle,73,$$,4.3,vendor335@example.com,150
Vendor,Orion 237,Community Hall,Toronto,83,$$,4.5,vendor237@example.com,150
Venue,Vista 264,Security,Seattle,1079,$$$,3.5,venue264@example.com,300
Venue,Serenity 444,Decoration,Vancouver,126,$$$$,5.0,venue444@example.com,500
Vendor,Pulse 176,Photography,Vancouver,97,$,3.8,vendor176@example.com,50
Venue,Solstice 305,AV,Chicago,1197,$$$,4.0,venue305@example.com,300
Venue,Oasis 342,Hotel,Vancouver,845,$,4.0,venue342@example.com,50
Vendor,Radiant 467,Conference Center,Chicago,22,$$$$,3.0,vendor467@example.com,500
Venue,Zenith 150,Catering,Toronto,858,$$$,4.1,venue150@example.com,300
Venue,Nebula 125,Theater,Chicago,207,$,3.9,venue125@example.com,50
Vendor,Stratus 287,Decoration,Toronto,100,$,3.9,vendor287@example.com,50
Venue,Galaxy 51,Community Hall,Boston,813,$$,4.6,venue51@example.com,150
Venue,Echo 354,Decoration,New York,1355,$$$$,3.5,venue354@example.com,500
Vendor,Lumen 428,Photography,Boston,97,$$$,3.9,vendor428@example.com,300
Venue,Vista 143,Catering,Toronto,1140,$$$$,4.9,venue143@example.com,500
Venue,Momentum 471,Theater,Boston,167,$$$$,4.5,venue471@example.com,500
Venue,Oasis 400,Conference Center,New York,1292,$$,3.5,venue400@example.com,150
Vendor,Stratus 126,Security,Los Angeles,26,$$$$,4.3,vendor126@example.com,500
Venue,Summit 321,Community Hall,Toronto,1561,$$$,4.0,venue321@example.com,300
Venue,Zenith 20,Catering,Chicago,846,$,3.7,venue20@example.com,50
Vendor,Radiant 310,Catering,Boston,56,$$$$,4.8,vendor310@example.com,500
Vendor,Vertex 291,Security,Vancouver,30,$$$,4.4,vendor291@example.com,300
Vendor,Lynx 309,Outdoor,Boston,23,$$,3.1,vendor309@example.com,150
Venue,Oasis 408,Hotel,Boston,1809,$$$$,3.6,venue408@example.com,500
Vendor,Comet 38,Conference Center,Vancouver,57,$$$,3.0,vendor38@example.com,300
Vendor,Vertex 121,Decoration,Los Angeles,95,$,3.8,vendor121@example.com,50
Venue,Zenith 39,Conference Center,Boston,845,$$$,3.3,venue39@example.com,300
Venue,Vista 176,Conference Center,New York,1477,$$,3.1,venue176@example.com,150
Venue,Eclipse 246,Conference Center,New York,483,$$$$,5.0,venue246@example.com,500
Vendor,Lynx 329,Security,Seattle,53,$$$,4.3,vendor329@example.com,300
Vendor,Cosmos 168,Hotel,Toronto,50,$$,3.7,vendor168@example.com,150
Vendor,Quantum 255,Community Hall,Seattle,54,$,3.2,vendor255@example.com,50
Vendor,Cosmos 359,Security,New York,47,$,4.2,vendor359@example.com,50
Venue,Horizon 155,Photography,Toronto,1095,$,4.9,venue155@example.com,50
Venue,Eclipse 288,Catering,New York,517,$$$$,4.7,venue288@example.com,500
Vendor,Radiant 103,Theater,Vancouver,91,$$,4.8,vendor103@example.com,150
Vendor,Pulse 70,Conference Center,Chicago,81,$$,3.7,vendor70@example.com,150
Vendor,Vega 244,Decoration,Los Angeles,10,$$$$,3.3,vendor244@example.com,500
Venue,Vertex 18,Theater,Los Angeles,1433,$$$$,3.4,venue18@example.com,500
Venue,Galaxy 128,Security,Toronto,1415,$$$,4.4,venue128@example.com,300
Venue,Vista 323,Decoration,Boston,374,$$,4.5,venue323@example.com,150
Venue,Harbor 256,Security,Los Angeles,1180,$$,3.5,venue256@example.com,150
Vendor,Radiant 158,Outdoor,Toronto,22,$$$,4.4,vendor158@example.com,300
Vendor,Phoenix 465,Decoration,New York,62,$$,4.0,vendor465@example.com,150
Venue,Galaxy 191,AV,Toronto,218,$$$,4.7,venue191@example.com,300
Venue,Echo 116,Community Hall,New York,433,$$,3.5,venue116@example.com,150
Vendor,Comet 117,Catering,Toronto,61,$$,4.0,vendor117@example.com,150
Vendor,Atlas 107,AV,Toronto,17,$,3.4,vendor107@example.com,50
Venue,Harbor 181,Catering,Boston,589,$$$,4.5,venue181@example.com,300
Venue,Vista 302,Security,Boston,106,$$$,4.6,venue302@example.com,300
Vendor,Nova 260,Catering,Toronto,86,$$$,4.9,vendor260@example.com,300
Vendor,Nova 213,Outdoor,Boston,64,$,3.0,vendor213@example.com,50
Vendor,Pulse 224,Security,Chicago,31,$,4.7,vendor224@example.com,50
Vendor,Comet 186,Hotel,Chicago,32,$$$$,3.1,vendor186@example.com,500
Vendor,Orion 480,Security,Los Angeles,90,$$$,4.4,vendor480@example.com,300
Vendor,Comet 18,Decoration,Los Angeles,26,$$$,3.6,vendor18@example.com,300
Vendor,Radiant 485,Security,Boston,73,$,5.0,vendor485@example.com,50
Venue,Harbor 46,Theater,Seattle,403,$$$$,3.6,venue46@example.com,500
Vendor,Cosmos 410,AV,Boston,83,$$$,4.9,vendor410@example.com,300
Venue,Momentum 158,Photography,Toronto,1576,$$$,4.8,venue158@example.com,300
Vendor,Vega 352,Community Hall,New York,75,$,5.0,vendor352@example.com,50
Venue,Mirage 172,Theater,Toronto,1998,$,4.7,venue172@example.com,50
Venue,Summit 17,Photography,Chicago,1884,$$$,3.7,venue17@example.com,300
Vendor,Stratus 12,Hotel,Chicago,22,$$$$,3.0,vendor12@example.com,500
Venue,Vista 49,AV,Los Angeles,1125,$$$$,4.4,venue49@example.com,500
Vendor,Vega 472,Decoration,Seattle,16,$$$$,4.8,vendor472@example.com,500
Vendor,Nimbus 441,Conference Center,Toronto,89,$$,3.2,vendor441@example.com,150
Vendor,Comet 16,Catering,Boston,11,$$$,4.6,vendor16@example.com,300
Vendor,Nimbus 453,Security,Toronto,88,$$,4.8,vendor453@example.com,150
Venue,Mirage 481,Theater,Chicago,104,$$$$,3.9,venue481@example.com,500
Venue,Mirage 284,Decoration,Vancouver,448,$$,3.1,venue284@example.com,150
Vendor,Echo 219,Security,Toronto,61,$$$,4.0,vendor219@example.com,300
Vendor,Lyra 378,Photography,Chicago,53,$,3.4,vendor378@example.com,50
Venue,Odyssey 226,Theater,Boston,1490,$$,3.8,venue226@example.com,150
Venue,Vertex 27,Community Hall,New York,418,$,4.5,venue27@example.com,50
Vendor,Nova 455,Theater,Chicago,79,$$$$,3.6,vendor455@example.com,500
Venue,Eclipse 438,Photography,Chicago,1532,$$$$,4.1,venue438@example.com,500
Vendor,Phoenix 452,Security,Vancouver,70,$$,4.7,vendor452@example.com,150
Venue,Harbor 365,Conference Center,Boston,1451,$$$$,3.1,venue365@example.com,500
Venue,Aurora 230,Security,Toronto,1334,$$,4.1,venue230@example.com,150
Venue,Harbor 38,Photography,Vancouver,1321,$$,3.5,venue38@example.com,150
Vendor,Atlas 466,AV,Los Angeles,49,$,3.5,vendor466@example.com,50
Venue,Solstice 375,Hotel,Vancouver,1977,$$$,4.5,venue375@example.com,300
Venue,Vista 470,Community Hall,New York,948,$$$$,3.6,venue470@example.com,500
Vendor,Lynx 468,Catering,Seattle,40,$$,4.3,vendor468@example.com,150
Vendor,Lynx 351,Theater,Toronto,22,$,4.0,vendor351@example.com,50
Vendor,Spectrum 205,AV,Los Angeles,33,$$$,3.8,vendor205@example.com,300
Vendor,Orion 342,Conference Center,New York,99,$$,4.4,vendor342@example.com,150
Venue,Summit 195,Photography,New York,659,$$$,3.2,venue195@example.com,300
Vendor,Radiant 355,Community Hall,Boston,28,$$$,3.1,vendor355@example.com,300
Vendor,Nimbus 365,Theater,New York,83,$$$,4.5,vendor365@example.com,300
Vendor,Nova 4,Catering,Seattle,54,$$$,4.3,vendor4@example.com,300
Vendor,Vertex 470,Photography,Chicago,11,$,3.2,vendor470@example.com,50
Vendor,Quantum 331,Decoration,Chicago,51,$$,4.1,vendor331@example.com,150
Vendor,Nimbus 80,Conference Center,Chicago,45,$$$,4.8,vendor80@example.com,300
Vendor,Pulse 469,AV,Boston,53,$$$$,4.8,vendor469@example.com,500
Venue,Zenith 163,Outdoor,Boston,1833,$,3.2,venue163@example.com,50
Vendor,Quantum 409,Hotel,Toronto,48,$$$$,4.5,vendor409@example.com,500
Venue,Vertex 153,Security,Seattle,1585,$$$$,4.4,venue153@example.com,500
Vendor,Echo 302,Theater,New York,70,$,3.3,vendor302@example.com,50
Vendor,Vega 494,Security,Los Angeles,56,$$,3.6,vendor494@example.com,150
Vendor,Spectrum 256,Security,Los Angeles,76,$$$$,3.6,vendor256@example.com,500
Venue,Momentum 112,Catering,Chicago,1088,$,4.2,venue112@example.com,50
Venue,Nebula 227,Catering,Boston,1502,$$$,4.1,venue227@example.com,300
Vendor,Vega 189,Security,Vancouver,34,$$,4.7,vendor189@example.com,150
Venue,Galaxy 104,Decoration,Boston,322,$$,4.1,venue104@example.com,150
Venue,Odyssey 422,AV,Vancouver,1772,$$$$,3.1,venue422@example.com,500
Venue,Harbor 420,Decoration,Boston,1601,$$$,4.6,venue420@example.com,300
Vendor,Lynx 251,Theater,Seattle,36,$$$,4.0,vendor251@example.com,300
Vendor,Lynx 87,Catering,Vancouver,95,$$$,4.8,vendor87@example.com,300
Vendor,Helix 281,AV,New York,67,$$$$,3.8,vendor281@example.com,500
Vendor,Spectrum 173,Hotel,Boston,23,$,3.7,vendor173@example.com,50
Venue,Echo 120,Decoration,Vancouver,1093,$,3.7,venue120@example.com,50
Venue,Zenith 54,Conference Center,Boston,753,$$$,3.5,venue54@example.com,300
